genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
12,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.746459,,2.0096934,0,,,3.469928,3.2114016,0,0,7.5443654,5.58390525,
13,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.746459,,1.9877572,0,,,3.469928,3.2114016,0,0,7.5443654,5.2198377,
14,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.746459,,1.9877572,0,,,3.469928,3.2114016,0,0,8.4758102,5.2198377,
15,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.746459,,1.9877572,0,,,3.469928,3.2114016,0,0,8.4758102,5.2198377,
16,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,2.370797,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.746459,,1.9877572,0,,,3.469928,3.2114016,0,0,8.4758102,5.2198377,
17,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,2.370797,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.7953936,,2.19362,0,,,3.469928,3.2114016,0,0,7.5443654,5.2198377,
18,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,2.370797,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.7700826,,2.19362,0,,,3.469928,3.2114016,0,0,7.5443654,5.2198377,
19,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,0,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.746459,,2.19362,0,,,3.469928,3.2114016,0,0,7.5443654,5.2198377,
20,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,0,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.7025866,,2.19362,0,,,3.469928,3.2114016,0,0,8.4758102,5.2198377,
21,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,0,4.0492485,3.26629765,0,0,0,15.2005524,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,23.977624,,,,,,,2.684924,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,21.7677306,,1.6570268,,2.19362,0,,,3.469928,3.2114016,0,0,8.4758102,5.2198377,
